id,time,latitude,longitude,wifi,addr
53,27MAR2013:00:09:06,43.70660750,-72.28702270,,Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
53,27MAR2013:00:29:06,43.70661210,-72.28702520,,Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
53,27MAR2013:00:49:06,43.70661900,-72.28699410,,Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
53,27MAR2013:01:09:06,43.70658790,-72.28705140,,Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
53,27MAR2013:01:29:06,43.70660230,-72.28703140,,Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
53,27MAR2013:01:49:06,43.70660140,-72.28703390,,Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
53,27MAR2013:02:09:06,43.70659510,-72.28703340,,Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
53,27MAR2013:02:29:06,43.70661650,-72.28702170,,Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
53,27MAR2013:02:49:06,43.70661020,-72.28701150,,Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
53,27MAR2013:03:09:06,43.70661180,-72.28701870,,Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
53,27MAR2013:03:29:06,43.70659960,-72.28699240,,Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
53,27MAR2013:03:49:06,43.70660570,-72.28697640,,Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
53,27MAR2013:04:09:06,43.70660880,-72.28698740,,Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
53,27MAR2013:04:29:06,43.70661550,-72.28701520,,Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
53,27MAR2013:04:49:06,43.70660930,-72.28701590,,Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
53,27MAR2013:05:09:06,43.70659790,-72.28701140,,Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
53,27MAR2013:05:29:06,43.70660550,-72.28695770,,Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
53,27MAR2013:05:49:06,43.70661600,-72.28703990,,Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
53,27MAR2013:06:09:06,43.70661070,-72.28700290,,Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
53,27MAR2013:06:29:06,43.70661950,-72.28704000,,Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
53,27MAR2013:06:49:06,43.70661420,-72.28701270,,Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
53,27MAR2013:07:09:06,43.70661140,-72.28700950,,Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
53,27MAR2013:07:29:07,43.70660800,-72.28701930,,Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
53,27MAR2013:07:49:06,43.70660930,-72.28698360,,Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
53,27MAR2013:08:09:06,43.70660830,-72.28700100,,Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
53,27MAR2013:08:29:06,43.70661080,-72.28702770,,Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
53,27MAR2013:08:49:06,43.70660840,-72.28702160,,Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
53,27MAR2013:09:09:06,43.70661620,-72.28700850,,Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
53,27MAR2013:09:29:06,43.70661600,-72.28701540,,Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
53,27MAR2013:09:49:06,43.70660220,-72.28700470,,Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
53,27MAR2013:10:09:06,43.70660710,-72.28702940,,Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
53,27MAR2013:10:29:06,43.70660810,-72.28702510,,Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
53,27MAR2013:10:49:06,43.70661080,-72.28701350,,Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
53,27MAR2013:11:09:06,43.70659950,-72.28699060,,Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
53,27MAR2013:11:29:06,43.70660450,-72.28703090,,Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
53,27MAR2013:11:49:06,43.70660900,-72.28703910,,Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
53,27MAR2013:12:09:06,43.70660220,-72.28701210,,Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
53,27MAR2013:12:29:06,43.70660500,-72.28702540,,Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
53,27MAR2013:12:49:06,43.70660760,-72.28701300,,Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
53,27MAR2013:13:09:06,43.70661460,-72.28701260,,Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
53,27MAR2013:13:29:06,43.70661270,-72.28702030,,Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
53,27MAR2013:13:49:06,43.70660690,-72.28702160,,Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
53,27MAR2013:14:09:06,43.70659460,-72.28701900,,Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
53,27MAR2013:15:40:07,43.70660260,-72.28702640,,Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
53,27MAR2013:16:00:07,43.70532960,-72.28317430,,8 North Park Street; 8; North Park Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
