id,time,latitude,longitude,wifi,addr
23,27MAR2013:13:07:19,43.70662970,-72.28704480,in[sudikoff],Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
23,27MAR2013:13:27:19,43.70662680,-72.28700330,in[sudikoff],Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
23,27MAR2013:14:47:20,43.70309870,-72.29052990,,Class of 1953 Commons; 6; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
23,27MAR2013:15:07:20,43.70663800,-72.28704850,,Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
23,27MAR2013:15:25:23,43.70840118,-72.28382758,,Class of 1978 Life Sciences Center; 78; College Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
23,27MAR2013:15:47:18,43.70556321,-72.28326870,,10 North Park Street; 10; North Park Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
23,27MAR2013:16:07:19,43.70556080,-72.28326180,in[north-park],10 North Park Street; 10; North Park Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
23,27MAR2013:16:27:19,43.70556110,-72.28327080,in[north-park],10 North Park Street; 10; North Park Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
23,27MAR2013:16:47:19,43.70565230,-72.28326190,,12 North Park Street; 12; North Park Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
23,27MAR2013:17:07:19,43.70549920,-72.28328390,in[north-park],10 North Park Street; 10; North Park Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
23,27MAR2013:17:27:19,43.70553180,-72.28330100,in[north-park],10 North Park Street; 10; North Park Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
23,27MAR2013:17:47:19,43.70548240,-72.28329480,in[north-park],10 North Park Street; 10; North Park Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
23,27MAR2013:18:07:19,43.70546990,-72.28325910,in[north-park],10 North Park Street; 10; North Park Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
23,27MAR2013:18:27:19,43.70549570,-72.28324610,in[north-park],10 North Park Street; 10; North Park Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
23,27MAR2013:18:47:19,43.70555550,-72.28327310,in[north-park],10 North Park Street; 10; North Park Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
23,27MAR2013:19:07:19,43.70557100,-72.28320780,in[north-park],10 North Park Street; 10; North Park Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
23,27MAR2013:19:27:19,43.70556040,-72.28330250,in[north-park],10 North Park Street; 10; North Park Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
23,27MAR2013:19:45:38,43.70552740,-72.28325740,in[north-park],10 North Park Street; 10; North Park Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
23,27MAR2013:20:07:19,43.70557520,-72.28323130,in[north-park],10 North Park Street; 10; North Park Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
23,27MAR2013:20:27:19,43.70550140,-72.28324630,in[north-park],10 North Park Street; 10; North Park Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
23,27MAR2013:20:47:19,43.70543820,-72.28326570,in[north-park],8 North Park Street; 8; North Park Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
23,27MAR2013:21:07:19,43.70557170,-72.28326020,in[north-park],10 North Park Street; 10; North Park Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
23,27MAR2013:21:27:19,43.70548720,-72.28325440,in[north-park],10 North Park Street; 10; North Park Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
23,27MAR2013:21:47:19,43.70552140,-72.28325330,in[north-park],10 North Park Street; 10; North Park Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
23,27MAR2013:22:07:19,43.70555410,-72.28326690,in[north-park],10 North Park Street; 10; North Park Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
23,27MAR2013:22:27:19,43.70549660,-72.28327760,in[north-park],10 North Park Street; 10; North Park Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
23,27MAR2013:22:47:19,43.70544500,-72.28324810,in[north-park],10 North Park Street; 10; North Park Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
23,27MAR2013:23:07:19,43.70553520,-72.28330790,in[north-park],10 North Park Street; 10; North Park Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
23,27MAR2013:23:27:20,43.70557830,-72.28324480,,10 North Park Street; 10; North Park Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
